NAME,STATEFP,INTPTLAT,INTPTLON
Abbeville,45,+34.2290410,-082.4540577
Acadia,22,+30.2914970,-092.4110366
Accomack,51,+37.7659435,-075.7578073
Ada,16,+43.4514767,-116.2443758
Adair,40,+35.8980428,-094.6510258
Adair,21,+37.1055589,-085.2813796
Adair,19,+41.3285283,-094.4781643
Adair,29,+40.1906655,-092.6035922
Adams,31,+40.5206322,-098.5000441
Adams,39,+38.8344683,-083.4780816
Adams,17,+39.9860525,-091.1949607
Adams,16,+44.8770040,-116.4616241
Adams,38,+46.0968146,-102.5331983
Adams,08,+39.8743252,-104.3318718
Adams,55,+43.9737568,-089.7672276
Adams,42,+39.8694707,-077.2177296
Adams,19,+41.0216555,-094.6969059
Adams,53,+47.0112378,-118.5128614
Adams,28,+31.4862243,-091.3517966
Adams,18,+40.7457297,-084.9361340
Addison,50,+44.0312479,-073.1415807
Adjuntas,72,+18.1816112,-066.7581652
Aguada,72,+18.3756735,-067.1857450
Aguadilla,72,+18.4801911,-067.1437616
Aguas Buenas,72,+18.2565236,-066.1284959
Aibonito,72,+18.1307232,-066.2644602
Aiken,45,+33.5500134,-081.6329830
Aitkin,27,+46.6024089,-093.4196935
Alachua,12,+29.6757403,-082.3572210
Alamance,37,+36.0439535,-079.4005733
Alameda,06,+37.6471385,-121.9124880
Alamosa,08,+37.5684423,-105.7880414
Albany,36,+42.5882401,-073.9740095
Albany,56,+41.6655141,-105.7218826
Albemarle,51,+38.0241841,-078.5535056
Alcona,26,+44.6575092,-083.2945804
Alcorn,28,+34.8865689,-088.5811091
Aleutians East,02,+55.2450437,-161.9974772
Aleutians West,02,+51.9489640,+179.6211882
Alexander,37,+35.9209506,-081.1774668
Alexander,17,+37.1836583,-089.3495158
Alexandria,51,+38.8192511,-077.0836695
Alfalfa,40,+36.7297032,-098.3234449
Alger,26,+46.5217365,-086.6571192
Allamakee,19,+43.2749637,-091.3827510
Allegan,26,+42.4212512,-086.2614034
Allegany,24,+39.6123134,-078.7031037
Allegany,36,+42.2478532,-078.0261531
Alleghany,51,+37.7879048,-080.0086690
Alleghany,37,+36.4893563,-081.1322987
Allegheny,42,+40.4697574,-079.9804515
Allen,39,+40.7716274,-084.1061032
Allen,21,+36.7507703,-086.1924580
Allen,18,+41.0919086,-085.0717907
Allen,20,+37.8842285,-095.3009448
Allen,22,+30.6527435,-092.8196052
Allendale,45,+32.9797573,-081.3632651
Alpena,26,+44.8949540,-083.4265739
Alpine,06,+38.6217831,-119.7983522
Amador,06,+38.4435493,-120.6538580
Amelia,51,+37.3319271,-077.9774619
Amherst,51,+37.6293036,-079.1546672
Amite,28,+31.2039333,-090.7955421
