NAME,STATEFP,STUSPS,INTPTLAT,INTPTLON
Alabama,01,AL,+32.7395785,-086.8434469
Alaska,02,AK,+63.3473560,-152.8397334
American Samoa,60,AS,-14.2671590,-170.6682674
Arizona,04,AZ,+34.2039362,-111.6063449
Arkansas,05,AR,+34.8955256,-092.4446262
California,06,CA,+37.1551773,-119.5434183
Colorado,08,CO,+38.9937669,-105.5087122
Commonwealth of the Northern Mariana Islands,69,MP,+15.0010865,+145.6181702
Connecticut,09,CT,+41.5798637,-072.7466572
Delaware,10,DE,+38.9985661,-075.4416440
District of Columbia,11,DC,+38.9042474,-077.0165167
Florida,12,FL,+28.3989775,-082.5143005
Georgia,13,GA,+32.6295789,-083.4235109
Guam,66,GU,+13.4382885,+144.7729494
Hawaii,15,HI,+19.8281671,-155.4950421
Idaho,16,ID,+44.3484222,-114.5588538
Illinois,17,IL,+40.1028754,-089.1526108
Indiana,18,IN,+39.9013136,-086.2919129
Iowa,19,IA,+42.0700243,-093.4933473
Kansas,20,KS,+38.4985464,-098.3834298
Kentucky,21,KY,+37.5336844,-085.2929801
Louisiana,22,LA,+30.8634368,-091.7987173
Maine,23,ME,+45.4092843,-068.6666160
Maryland,24,MD,+38.9466584,-076.6744939
Massachusetts,25,MA,+42.1565196,-071.4895915
Michigan,26,MI,+44.8441768,-085.6604907
Minnesota,27,MN,+46.3159573,-094.1996043
Mississippi,28,MS,+32.6864714,-089.6561377
Missouri,29,MO,+38.3507500,-092.4567826
Montana,30,MT,+47.0511770,-109.6348174
Nebraska,31,NE,+41.5433053,-099.8118646
Nevada,32,NV,+39.3310928,-116.6151469
New Hampshire,33,NH,+43.6727945,-071.5841886
New Jersey,34,NJ,+40.1072744,-074.6652012
New Mexico,35,NM,+34.4346843,-106.1316181
New York,36,NY,+42.9133974,-075.5962723
North Carolina,37,NC,+35.5397100,-079.1308636
North Dakota,38,ND,+47.4421740,-100.4608258
Ohio,39,OH,+40.4149297,-082.7119975
Oklahoma,40,OK,+35.5900815,-097.4867789
Oregon,41,OR,+43.9717125,-120.6229578
Pennsylvania,42,PA,+40.9046042,-077.8275233
Puerto Rico,72,PR,+18.2176480,-066.4107992
Rhode Island,44,RI,+41.5964850,-071.5264901
South Carolina,45,SC,+33.8741776,-080.8542639
South Dakota,46,SD,+44.4467957,-100.2381762
Tennessee,47,TN,+35.8584600,-086.3496339
Texas,48,TX,+31.4347032,-099.2818238
United States Virgin Islands,78,VI,+18.3392359,-064.9500433
Utah,49,UT,+39.3349925,-111.6563326
Vermont,50,VT,+44.0589536,-072.6710173
Virginia,51,VA,+37.5222512,-078.6681938
Washington,53,WA,+47.4073238,-120.5757999
West Virginia,54,WV,+38.6472854,-080.6183274
Wisconsin,55,WI,+44.6309071,-089.7093916
Wyoming,56,WY,+42.9896591,-107.5443922
