ZIPCODE,CITY,STATE,COUNTY,DISTRICT_NUMBER,DISTRICT_LETTER
00210,PORTSMOUTH,NH,ROCKINGHAM,47,
00211,PORTSMOUTH,NH,ROCKINGHAM,47,
00212,PORTSMOUTH,NH,ROCKINGHAM,47,
00213,PORTSMOUTH,NH,ROCKINGHAM,47,
00214,PORTSMOUTH,NH,ROCKINGHAM,47,
00215,PORTSMOUTH,NH,ROCKINGHAM,47,
00501,HOLTSVILLE,NY,SUFFOLK,52,
00501,IRS SERVICE CENTER,NY,SUFFOLK,52,
00544,HOLTSVILLE,NY,SUFFOLK,52,
00544,IRS SERVICE CENTER,NY,SUFFOLK,52,
01001,AGAWAM,MA,HAMPDEN,36,
01002,AMHERST,MA,HAMPSHIRE,36,
01002,CUSHMAN,MA,HAMPSHIRE,36,
01002,PELHAM,MA,HAMPSHIRE,36,
01003,AMHERST,MA,HAMPSHIRE,36,
01004,AMHERST,MA,HAMPSHIRE,36,
01005,BARRE,MA,WORCESTER,36,
01007,BELCHERTOWN,MA,HAMPSHIRE,36,
01008,BLANDFORD,MA,HAMPDEN,36,
01009,BONDSVILLE,MA,HAMPDEN,36,
01010,BRIMFIELD,MA,HAMPDEN,36,
01010,EAST BRIMFIELD,MA,HAMPDEN,36,
01011,BECKET CENTER,MA,HAMPDEN,36,
01011,CHESTER,MA,HAMPDEN,36,
01012,CHESTERFIELD,MA,HAMPSHIRE,36,
01013,CHICOPEE,MA,HAMPDEN,36,
01013,WILLIMANSETT,MA,HAMPDEN,36,
01014,CHICOPEE,MA,HAMPDEN,36,
01020,CHICOPEE,MA,HAMPDEN,36,
01021,CHICOPEE,MA,HAMPDEN,36,
01022,CHICOPEE,MA,HAMPDEN,36,
01022,WESTOVER AFB,MA,HAMPDEN,36,
01026,CUMMINGTON,MA,HAMPSHIRE,36,
01026,WEST CUMMINGTON,MA,HAMPSHIRE,36,
01027,EASTHAMPTON,MA,HAMPSHIRE,36,
01027,LOUDVILLE,MA,HAMPSHIRE,36,
01027,MOUNT TOM,MA,HAMPSHIRE,36,
01028,E LONGMEADOW,MA,HAMPDEN,36,
01028,EAST LONGMEADOW,MA,HAMPDEN,36,
01029,BIG POND,MA,BERKSHIRE,36,
01029,E OTIS,MA,BERKSHIRE,36,
01029,EAST OTIS,MA,BERKSHIRE,36,
01030,FEEDING HILLS,MA,HAMPDEN,36,
01031,GILBERTVILLE,MA,WORCESTER,36,
01031,OLD FURNACE,MA,WORCESTER,36,
01032,GOSHEN,MA,HAMPSHIRE,36,
01032,LITHIA,MA,HAMPSHIRE,36,
01033,GRANBY,MA,HAMPSHIRE,36,
01034,GRANVILLE,MA,HAMPDEN,36,
01034,GRANVILLE CENTER,MA,HAMPDEN,36,
01034,TOLLAND,MA,HAMPDEN,36,
01035,HADLEY,MA,HAMPSHIRE,36,
01035,NORTH HADLEY,MA,HAMPSHIRE,36,
01036,HAMPDEN,MA,HAMPDEN,36,
01037,HARDWICK,MA,WORCESTER,36,
01038,HATFIELD,MA,HAMPSHIRE,36,
01038,WEST HATFIELD,MA,HAMPSHIRE,36,
01039,HAYDENVILLE,MA,HAMPSHIRE,36,
01040,HOLYOKE,MA,HAMPDEN,36,
01041,HALYOKE,MA,HAMPDEN,36,
01041,HOLYOKE,MA,HAMPDEN,36,
01050,HUNTINGTON,MA,HAMPSHIRE,36,
01050,KNIGHTSVILLE,MA,HAMPSHIRE,36,
01050,NORTH CHESTER,MA,HAMPSHIRE,36,
01053,LEEDS,MA,HAMPSHIRE,36,
01054,EAST LEVERETT,MA,FRANKLIN,36,
01054,LEVERETT,MA,FRANKLIN,36,
01056,LUDLOW,MA,HAMPDEN,36,
01057,MONSON,MA,HAMPDEN,36,
01059,AMHERST,MA,HAMPSHIRE,36,
01059,NORTH AMHERST,MA,HAMPSHIRE,36,
01060,BAY STATE,MA,HAMPSHIRE,36,
01060,NORTHAMPTON,MA,HAMPSHIRE,36,
01061,NORTH HAMPTON,MA,HAMPSHIRE,36,
01061,NORTHAMPTON,MA,HAMPSHIRE,36,
01062,FLORENCE,MA,HAMPSHIRE,36,
